Id,End,ImageUrl,Instructors,Name,Platform,Start,Stream,Url
"69","2012-08-12","http://lh3.ggpht.com/ODg_QbKR_sjKmqxRfU860rusnA5DLdFrXVpmiGhnpDUuHB7w9_7Ydb4wqz-TwYYEEOTl-vgKRWtV4a9RmnE","Wes Weimer","CS262 - Programming Languages: Building a Web Browser","Udacity","2012-06-26","Computer Science","http://www.udacity.com/overview/Course/cs262"
"62","2012-08-12","http://lh3.ggpht.com/iDD5AbYQX0US4VM0yPmRXOEyzdm2L8Gm1lABA1GfIpMnuiEU9V5_Ld_L7LkrJnQiyaIDbvP9zNaijS3VvsOT","Michael Littman;Job Evers","CS215 - Algorithms: Crunching Social Networks ","Udacity","2012-06-26","Computer Science","http://www.udacity.com/overview/Course/cs215"
"58","2012-08-12","http://lh3.ggpht.com/2MATQCkN-0lXJ07VO2mLf1iZi-OxjL60BN3IpJ1qvokNs3FKGbbrFem3Q9m8sOE_P6iH-_9z7DHFkT0M9ek","Andy Brown;Jonathan Burket","PH100 - Intro to Physics: Landmarks in Physics","Udacity","2012-06-25","Physics","http://www.udacity.com/overview/Course/ph100"
"72","2012-08-12","http://lh6.ggpht.com/nR8FQ_pMEj_4MCFG1knZgCSIfnTiDXNI4rsSaDIXZU-0tRI2ikOpILXG1ivcadj7GamLlqZTvMJa_PbRuzg7","David Evans","CS387 - Applied Cryptography: Science of Secrets","Udacity","2012-06-26","Computer Science","http://www.udacity.com/overview/Course/cs387"
"59","2012-08-12","http://www.udacity.com/media/img/pages/courses/MA101-featured.png","Sebastian Thrun;Adam Sherwin","ST101 - Introduction to Statistics: Making Decisions Based on Data","Udacity","2012-06-25","Mathematics and Statistics","http://www.udacity.com/overview/Course/st101"
"71","2012-08-12","http://www.udacity.com/media/img/pages/courses/CS373-featured.png","Sebastian Thrun","CS373 - Artificial Intelligence: Programming a Robotic Car","Udacity","2012-06-26","Computer Science","http://www.udacity.com/overview/Course/cs373"
"61","2012-08-12","http://www.udacity.com/media/img/pages/courses/CS258-featured.png","John Regehr;Sean Bennett","CS258 - Software Testing: How to Make Software Fail","Udacity","2012-06-26","Computer Science","http://www.udacity.com/overview/Course/cs258"
"68","2012-08-12","http://lh3.ggpht.com/_KfXMQlaM0fNl4cRzOeh8RiNdvEwgEwx3ZW4tryBUypXXUI2r4_SSbwPFjM70NGUB2L-n2TY1x-qmBikCQ","Steve Huffman","CS253 - Web Application Engineering: Building a Blog","Udacity","2012-06-26","Computer Science","http://www.udacity.com/overview/Course/cs253"
"67","2012-08-12","http://lh4.ggpht.com/NmHgq22XI-4hx0OwvnB3pljTTTqM-D-vUzK-w1araZg4lmziVamkX-Lr4Sq4SQ35bEnKNxh331BWHSfZHkkw","Sebastian Thrun;David Evans","CS101 - Intro to Computer Science: Building a Search Engine","Udacity","2012-06-25","Computer Science","http://www.udacity.com/overview/Course/cs101"
"60","2012-08-12","http://lh5.ggpht.com/9icaEV4GCadA7DTvoKgJwpseAXx4F0ZD0LrOwMyjnzhCRXEYvR0Ce2csqUIvEj36bUGFElUnSiKMEDSm2OQ","Jonathan Farley;Sarah Norell","CS221 - Logic & Discrete Mathematics: Foundations of Computing","Udacity","2012-06-26","Mathematics and Statistics","http://www.udacity.com/overview/Course/cs221"
"70","2012-08-12","http://lh6.ggpht.com/DwG6Oe7gOPCZsLGCyWGBFl9rKGjgbq4_g1UzUj6YpmrV9Y9MGU6uvsKY_FDVaZ22RLk1wyHsvqJ7TkAu-Q","Peter Norvig","CS212 - The Design of Computer Programs: Programming Principles","Udacity","2012-06-26","Computer Science","http://www.udacity.com/overview/Course/cs212"
,,,,,,,,
