Id,End,Instructors,Name,Platform,Start,Stream,Url
"7","2012-06-03","Sebastian Thrun;David Evans","CS101 - Building a Search Engine","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs101"
"47","2012-12-09","Jeremy Adelman","A History of the World since 1300","Coursera","2012-09-17","Humanities and Social Sciences","https://www.coursera.org/course/wh1300"
"8","2012-06-03","Sebastian Thrun","CS373 - Programming a Robotic Car","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs373"
"62","2012-08-12","Michael Littman;Job Evers","CS215 - Algorithms: Crunching Social Networks ","Udacity","2012-06-25","Computer Science","http://udacity.com/overview/Course/cs215"
"54","2012-11-11","Scott E Page","Model Thinking","Coursera","2012-09-01","Complex Systems","https://www.coursera.org/course/modelthinking"
"32","2012-07-22","Dan Boneh","Cryptography","Coursera","2012-06-11","Computer Science","https://www.coursera.org/course/crypto"
"56","2013-03-15","Robert Sedgewick","Introduction to Analytic Combinatorics, Part I","Coursera","2013-02-01","Mathematics and Statistics","https://www.coursera.org/course/introACpartI"
"44","2012-10-14","Andrew Conway","Statistics One","Coursera","2012-09-03","Mathematics and Statistics","https://www.coursera.org/course/stats1"
"39","2012-09-09","Carol Muller","Listening to World Music","Coursera","2012-07-23","Humanities and Social Sciences","https://www.coursera.org/course/worldmusic"
"10","2012-06-03","Wes Weimer","CS262 - Programming Languages - Building a Browser","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs262"
"31","2012-07-15","Tim Roughgarden","Design and Analysis of Algorithms I","Coursera","2012-06-11","Computer Science","https://www.coursera.org/course/algo"
"58","2012-08-12","Andy Brown;Jonathan Burket","PH100 - Intro to Physics: Landmarks in Physics","Udacity","2012-06-25","Physics","http://www.udacity.com/overview/Course/ph100"
"3","2012-06-03","Steve Huffman","CS253 - Web Application Engineering - Building a Blog","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs253"
"38","2012-09-30","Eric Rabkin","Fantasy and Science Fiction: The Human Mind, Our Modern World","Coursera","2012-07-23","Humanities and Social Sciences","https://www.coursera.org/course/fantasysf"
"2","2012-06-10","Michael Genesereth","Introduction to Logic","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/intrologic"
"21","2012-03-25","Armando Fox;David Patterson","Software Engineering for SaaS","Coursera","2012-02-20","Computer Science","http://www.saas-class.org/"
"40","2012-08-05","Benjamin Abella","Cardiac Arrest, Hypothermia, and Resuscitation Science","Coursera","2012-07-01","Healthcare, Medicine, and Biology","https://www.coursera.org/course/cardiacarrest"
"14","2012-07-01","Alex Aiken","Compilers","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/compilers"
"55","2012-12-16","Robert Sedgewick;Kevin Wayne","Algorithms, Part II","Coursera","2012-11-01","Computer Science","https://www.coursera.org/course/algs4partII"
"18","2011-12-14","Andrew Ng","Introduction to Machine Learning","Coursera","2011-11-01","Computer Science","http://www.ml-class.org/"
"25","2012-05-06","Chris Manning;Dan Jurafsky","Natural Language Processing","Coursera","2012-03-12","Computer Science","http://www.nlp-class.org/"
"12","2012-06-03","Nick Parlante","CS101","Coursera","2012-04-23","Computer Science","http://www.cs101-class.org/"
"9","2012-06-03","Peter Norvig","CS212 - The Design of Computer Programs","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs212"
"53","2012-11-11","Silvio Savarese;Fei-Fei Li","Computer Vision: From 3D Reconstruction to Visual Recognition","Coursera","2012-09-01","Computer Science","https://www.coursera.org/course/computervision"
"52","2012-11-11","Michael Kearns","Networked Life","Coursera","2012-09-01","Society, Networks and Information","https://www.coursera.org/course/networks"
"27","2012-05-06","Tim Roughgarden","Design and Analysis of Algorithms I","Coursera","2012-03-12","Computer Science","http://www.algo-class.org/"
"4","2012-06-17","Chuck Eesley","Technology Entrepreneurship","Individual","2012-04-16","Entrepreneurship","http://eesley.blogspot.com/"
"26","2012-06-13","Dan Boneh","Cryptography","Coursera","2012-03-12","Computer Science","http://www.crypto-class.org/"
"13","2012-07-01","Jitendra Malik","Computer Vision: The Fundamentals","Coursera","2012-04-23","Computer Science","http://www.vision-class.org/"
"16","2012-06-24","Armando Fox;David Patterson","Software Engineering for SaaS","Coursera","2012-05-18","Computer Science","https://www.coursera.org/course/saas"
"45","2012-10-07","J. Alex Halderman","Securing Digital Democracy","Coursera","2012-09-03","Society, Networks and Information","https://www.coursera.org/course/digitaldemocracy"
"41","2012-08-05","Roy Hamilton","Basic Behavioral Neurology","Coursera","2012-07-01","Healthcare, Medicine, and Biology","https://www.coursera.org/course/neurobehavior"
"17","2012-07-08","Scott Klemmer","Human-Computer Interaction","Coursera","2012-05-28","Computer Science","http://www.hci-class.org/"
"6","2012-06-06","Daphne Koller","Probabilistic Graphical Models","Coursera","2012-03-09","Computer Science","http://www.pgm-class.org/"
"46","2012-11-11","Mung Chiang","Networks: Friends, Money, and Bytes","Coursera","2012-09-03","Society, Networks and Information","https://www.coursera.org/course/friendsmoneybytes"
"50","2012-10-28","Lada Adamic","Social Network Analysis","Coursera","2012-09-01","Society, Networks and Information","https://www.coursera.org/course/sna"
"36","2012-09-02","Charles Severance","Internet History, Technology, and Security","Coursera","2012-07-23","Society, Networks and Information","https://www.coursera.org/course/insidetheinternet"
"59","2012-08-12","Sebastian Thrun;Adam Sherwin","ST101 - Introduction to Statistics: Making Decisions Based on Data","Udacity","2012-06-25","Mathematics and Statistics","http://www.udacity.com/overview/Course/st101"
"20","2011-12-07","Jennifer Widom","Introduction to Databases","Coursera","2011-11-01","Computer Science","http://www.db-class.org/"
"19","2011-12-14","Sebastian Thrun;Peter Norvig","Introduction to Artificial Intelligence","Udacity","2011-11-01","Computer Science","https://www.ai-class.com/"
"61","2012-08-12","John Regehr;Sean Bennett","CS258 - Software Testing: How to Make Software Fail","Udacity","2012-06-25","Computer Science","http://udacity.com/overview/Course/cs258"
"33","2012-06-24","Ezekiel Emanuel","Health Policy and the Affordable Care Act","Coursera","2012-06-01","Economics, Finance, and Business","https://www.coursera.org/course/healthpolicy"
"34","2012-07-01","Paul Offit","Vaccines","Coursera","2012-06-01","Healthcare, Medicine, and Biology","https://www.coursera.org/course/vaccines"
"35","2012-07-01","Emma Meagher","Fundamentals of Pharmacology","Coursera","2012-06-01","Healthcare, Medicine, and Biology","https://www.coursera.org/course/pharm101"
"42","2012-10-18","Robert Ghrist","Calculus: Single Variable","Coursera","2012-08-27","Mathematics and Statistics","https://www.coursera.org/course/calcsing"
"1","2012-07-01","Andrew Ng","Introduction to Machine Learning","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/ml"
"49","2012-11-11","David Wentzlaff","Computer Architecture","Coursera","2012-09-01","Computer Science","https://www.coursera.org/course/comparch"
"37","2012-09-30","Gautam Kaul","Introduction to Finance","Coursera","2012-07-23","Economics, Finance, and Business","https://www.coursera.org/course/introfinance"
"51","2012-11-11","Peter Struck","Greek and Roman Mythology","Coursera","2012-09-01","Humanities and Social Sciences","https://www.coursera.org/course/mythology"
"43","2012-09-16","Robert Sedgewick;Kevin Wayne","Algorithms, Part I","Coursera","2012-08-01","Computer Science","https://www.coursera.org/course/algs4partI"
