Id,End,ImageUrl,Instructors,Name,Platform,Start,Stream,Url
"7","2012-06-03","http://lh4.ggpht.com/NmHgq22XI-4hx0OwvnB3pljTTTqM-D-vUzK-w1araZg4lmziVamkX-Lr4Sq4SQ35bEnKNxh331BWHSfZHkkw","Sebastian Thrun;David Evans","CS101 - Intro to Computer Science: Building a Search Engine","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs101"
"115","2013-07-07","*","Fatimah Wirth","Fundamentals of Online Education: Planning and Application","Coursera","2013-06-03","Education","https://www.coursera.org/course/foe"
"117","2013-02-10","*","Jeremy Knox;Sian Bayne;Hamish Macleod;Jen Ross;Christine Sinclair","E-learning and Digital Cultures","Coursera","2013-01-07","Education","https://www.coursera.org/course/edc"
"47","2012-12-09","*","Jeremy Adelman","A History of the World since 1300","Coursera","2012-09-17","Humanities and Social Sciences","https://www.coursera.org/course/wh1300"
"122","2013-07-28","*","Mitchell Green","Know Thyself","Coursera","2013-06-03","Humanities and Social Sciences","https://www.coursera.org/course/knowthyself"
"130","2012-10-21","*","Roger D. Peng","Computing for Data Analysis","Coursera","2012-09-24","Mathematics and Statistics","https://www.coursera.org/course/compdata"
"79","2013-05-19","*","Leonard E. White","Medical Neuroscience","Coursera","2013-03-25","Biology and Life Sciences","https://www.coursera.org/course/medicalneuro"
"69","2012-08-12","http://lh3.ggpht.com/ODg_QbKR_sjKmqxRfU860rusnA5DLdFrXVpmiGhnpDUuHB7w9_7Ydb4wqz-TwYYEEOTl-vgKRWtV4a9RmnE","Wes Weimer","CS262 - Programming Languages: Building a Web Browser","Udacity","2012-06-28","Computer Science","http://www.udacity.com/overview/Course/cs262"
"110","2013-02-10","*","Jose J. Vazquez-Cognet","Microeconomics Principles","Coursera","2013-01-01","Economics, Finance, and Business","https://www.coursera.org/course/microecon"
"8","2012-06-03","http://www.udacity.com/media/img/pages/courses/CS373-featured.png","Sebastian Thrun","CS373 - Artificial Intelligence: Programming a Robotic Car","Udacity","2012-04-16","Computer Science","http://www.udacity.com/overview/Course/cs373"
"62","2012-08-12","http://lh3.ggpht.com/iDD5AbYQX0US4VM0yPmRXOEyzdm2L8Gm1lABA1GfIpMnuiEU9V5_Ld_L7LkrJnQiyaIDbvP9zNaijS3VvsOT","Michael Littman;Job Evers","CS215 - Algorithms: Crunching Social Networks ","Udacity","2012-06-28","Computer Science","http://www.udacity.com/overview/Course/cs215"
"54","2012-11-11","*","Scott E Page","Model Thinking","Coursera","2012-09-03","Complex Systems","https://www.coursera.org/course/modelthinking"
